r,G_r
12.95,0.122814
12.96,0.122023
12.97,0.120055
12.98,0.116866
12.99,0.11244
13,0.106785
13.01,0.099937
13.02,0.091956
13.03,0.082929
13.04,0.072965
13.05,0.062192
13.06,0.050759
13.07,0.038828
13.08,0.026572
13.09,0.014173
13.1,0.001816
13.11,-0.010313
13.12,-0.022033
13.13,-0.03317
13.14,-0.043563
13.15,-0.053063
13.16,-0.061541
13.17,-0.068888
13.18,-0.075019
13.19,-0.07987
13.2,-0.083406
13.21,-0.085617
13.22,-0.086519
13.23,-0.086154
13.24,-0.084589
13.25,-0.081914
13.26,-0.07824
13.27,-0.073698
13.28,-0.068432
13.29,-0.062602
13.3,-0.056374
13.31,-0.049923
13.32,-0.043424
13.33,-0.037051
13.34,-0.030974
13.35,-0.025354
13.36,-0.020341
13.37,-0.016068
13.38,-0.012656
13.39,-0.010204
13.4,-0.008789
13.41,-0.008468
13.42,-0.009276
13.43,-0.011224
13.44,-0.014299
13.45,-0.018467
13.46,-0.023674
13.47,-0.029844
13.48,-0.036886
13.49,-0.044692
13.5,-0.053141
13.51,-0.062101
13.52,-0.071436
13.53,-0.081
13.54,-0.090651
13.55,-0.100244
13.56,-0.10964
13.57,-0.118707
13.58,-0.12732
13.59,-0.135369
13.6,-0.142753
13.61,-0.149388
13.62,-0.155207
13.63,-0.160157
13.64,-0.164205
13.65,-0.167334
13.66,-0.169545
13.67,-0.170854
13.68,-0.171295
13.69,-0.170916
13.7,-0.169778
13.71,-0.167953
13.72,-0.165524
13.73,-0.16258
13.74,-0.159218
13.75,-0.155538
13.76,-0.151641
13.77,-0.147628
13.78,-0.143596
13.79,-0.139642
13.8,-0.135852
13.81,-0.132308
13.82,-0.129082
13.83,-0.126237
13.84,-0.123823
13.85,-0.121881
13.86,-0.12044
13.87,-0.119515
13.88,-0.119113
13.89,-0.119225
13.9,-0.119835
13.91,-0.120914
13.92,-0.122425
13.93,-0.124324
13.94,-0.126556
13.95,-0.129065
13.96,-0.131786
13.97,-0.134655
13.98,-0.137604
13.99,-0.140564
14,-0.14347
14.01,-0.146257
14.02,-0.148863
14.03,-0.151234
14.04,-0.153319
14.05,-0.155074
14.06,-0.156463
14.07,-0.157459
14.08,-0.158041
14.09,-0.158199
14.1,-0.157929
14.11,-0.157238
14.12,-0.156141
14.13,-0.154659
14.14,-0.152823
14.15,-0.15067
14.16,-0.148242
14.17,-0.145586
14.18,-0.142754
14.19,-0.1398
14.2,-0.136781
14.21,-0.133751
14.22,-0.130769
14.23,-0.127887
14.24,-0.125156
14.25,-0.122624
14.26,-0.120332
14.27,-0.118316
14.28,-0.116605
14.29,-0.11522
14.3,-0.114175
14.31,-0.113474
14.32,-0.113115
14.33,-0.113084
14.34,-0.113362
14.35,-0.113919
14.36,-0.114719
14.37,-0.115719
14.38,-0.11687
14.39,-0.118118
14.4,-0.119405
14.41,-0.12067
14.42,-0.121852
14.43,-0.122889
14.44,-0.123721
14.45,-0.124291
14.46,-0.124545
14.47,-0.124436
14.48,-0.123925
14.49,-0.122978
14.5,-0.121572
14.51,-0.119692
14.52,-0.117335
14.53,-0.114507
14.54,-0.111225
14.55,-0.107516
14.56,-0.103417
14.57,-0.098977
14.58,-0.094248
14.59,-0.089296
14.6,-0.084187
14.61,-0.078997
14.62,-0.073802
14.63,-0.068679
14.64,-0.063708
14.65,-0.058964
14.66,-0.054518
14.67,-0.050437
14.68,-0.04678
14.69,-0.043597
14.7,-0.040928
14.71,-0.038802
14.72,-0.037235
14.73,-0.036231
14.74,-0.035781
14.75,-0.035863
14.76,-0.036443
14.77,-0.037472
14.78,-0.038894
14.79,-0.04064
14.8,-0.042634
14.81,-0.044792
14.82,-0.047025
14.83,-0.049243
14.84,-0.051353
14.85,-0.053265
14.86,-0.054892
14.87,-0.056152
14.88,-0.056973
14.89,-0.05729
14.9,-0.057051
14.91,-0.056217
14.92,-0.054762
14.93,-0.052676
14.94,-0.049961
14.95,-0.046638
14.96,-0.042742
14.97,-0.03832
14.98,-0.033436
14.99,-0.028162
15,-0.022584
15.01,-0.016795
15.02,-0.010893
15.03,-0.00498
15.04,0.000838
15.05,0.00646
15.06,0.011786
15.07,0.016723
15.08,0.021187
15.09,0.025103
15.1,0.028412
15.11,0.031067
15.12,0.033036
15.13,0.034305
15.14,0.034877
15.15,0.034772
15.16,0.034027
15.17,0.032694
15.18,0.030843
15.19,0.028554
15.2,0.025921
15.21,0.023047
15.22,0.020043
15.23,0.017023
15.24,0.014103
15.25,0.0114
15.26,0.009025
15.27,0.007082
15.28,0.005669
15.29,0.004869
15.3,0.004754
15.31,0.005378
15.32,0.006779
15.33,0.008979
15.34,0.01198
15.35,0.015763
15.36,0.020294
15.37,0.025521
15.38,0.031373
15.39,0.037766
15.4,0.044602
15.41,0.051774
15.42,0.059164
15.43,0.066651
15.44,0.07411
15.45,0.081416
15.46,0.088448
15.47,0.095089
15.48,0.101234
15.49,0.106784
15.5,0.111658
15.51,0.115787
15.52,0.119119
15.53,0.12162
15.54,0.123274
15.55,0.124083
15.56,0.124066
15.57,0.123262
15.58,0.121722
15.59,0.119516
15.6,0.116725
15.61,0.113439
15.62,0.10976
15.63,0.105791
15.64,0.101643
15.65,0.097423
15.66,0.09324
15.67,0.089194
15.68,0.085381
15.69,0.081886
15.7,0.078783
15.71,0.076133
15.72,0.073983
15.73,0.072366
15.74,0.071298
15.75,0.07078
15.76,0.0708
15.77,0.07133
15.78,0.072328
15.79,0.073744
15.8,0.075514
15.81,0.077569
15.82,0.079832
15.83,0.082226
15.84,0.084669
15.85,0.087082
15.86,0.08939
15.87,0.091521
15.88,0.093414
15.89,0.095012
15.9,0.096274
15.91,0.097164
15.92,0.097663
15.93,0.097763
15.94,0.097466
15.95,0.096788
15.96,0.095755
15.97,0.094405
15.98,0.092782
15.99,0.090938
16,0.088931
16.01,0.086822
16.02,0.084673
16.03,0.082545
16.04,0.080497
16.05,0.078585
16.06,0.076856
16.07,0.07535
16.08,0.0741
16.09,0.073126
16.1,0.072439
16.11,0.072039
16.12,0.071914
16.13,0.072042
16.14,0.072391
16.15,0.072919
16.16,0.073576
16.17,0.074308
16.18,0.075053
16.19,0.075749
16.2,0.076331
16.21,0.076737
16.22,0.076906
16.23,0.076785
16.24,0.076325
16.25,0.075488
16.26,0.074243
16.27,0.072573
16.28,0.07047
16.29,0.06794
16.3,0.065
16.31,0.061679
16.32,0.058019
16.33,0.054072
16.34,0.049897
16.35,0.045563
16.36,0.041143
16.37,0.036718
16.38,0.032365
16.39,0.028165
16.4,0.024195
16.41,0.020527
16.42,0.017226
16.43,0.01435
16.44,0.011945
16.45,0.010044
16.46,0.00867
16.47,0.00783
16.48,0.007517
16.49,0.00771
16.5,0.008375
16.51,0.009461
16.52,0.010909
16.53,0.012648
16.54,0.014595
16.55,0.016662
16.56,0.018757
16.57,0.020782
16.58,0.022642
16.59,0.024241
16.6,0.025491
16.61,0.026307
16.62,0.026617
16.63,0.026356
16.64,0.025474
16.65,0.023936
16.66,0.021721
16.67,0.018824
16.68,0.015257
16.69,0.011046
16.7,0.006235
16.71,0.000882
16.72,-0.004941
16.73,-0.01115
16.74,-0.017653
16.75,-0.024348
16.76,-0.031128
16.77,-0.037883
16.78,-0.044501
16.79,-0.050874
16.8,-0.056899
16.81,-0.062476
16.82,-0.067519
16.83,-0.07195
16.84,-0.075705
16.85,-0.078735
16.86,-0.081003
16.87,-0.082493
16.88,-0.083202
16.89,-0.083144
16.9,-0.08235
16.91,-0.080864
16.92,-0.078745
16.93,-0.076065
16.94,-0.072906
16.95,-0.069357
16.96,-0.065516
16.97,-0.061483
16.98,-0.057359
16.99,-0.053248
17,-0.049246
17.01,-0.045448
17.02,-0.041939
17.03,-0.038795
17.04,-0.036083
17.05,-0.033856
17.06,-0.032155
17.07,-0.031006
17.08,-0.030423
17.09,-0.030405
17.1,-0.030937
17.11,-0.031991
17.12,-0.03353
17.13,-0.035503
17.14,-0.037851
17.15,-0.040509
17.16,-0.043405
17.17,-0.046465
17.18,-0.049614
17.19,-0.052774
17.2,-0.055874
17.21,-0.058845
17.22,-0.061623
17.23,-0.064154
17.24,-0.06639
17.25,-0.068295
17.26,-0.069842
17.27,-0.071014
17.28,-0.071807
17.29,-0.072225
17.3,-0.072284
17.31,-0.072009
17.32,-0.071433
17.33,-0.070597
17.34,-0.069546
17.35,-0.068332
17.36,-0.067009
17.37,-0.06563
17.38,-0.064251
17.39,-0.062922
17.4,-0.061692
17.41,-0.060605
17.42,-0.059697
17.43,-0.058997
17.44,-0.058528
17.45,-0.0583
17.46,-0.058318
17.47,-0.058574
17.48,-0.059055
17.49,-0.059736
17.5,-0.060586
17.51,-0.061564
17.52,-0.062627
17.53,-0.063724
17.54,-0.064802
17.55,-0.065805
17.56,-0.06668
17.57,-0.06737
17.58,-0.067824
17.59,-0.067995
17.6,-0.06784
17.61,-0.067325
17.62,-0.066421
17.63,-0.065111
17.64,-0.063385
17.65,-0.061243
17.66,-0.058695
17.67,-0.055762
17.68,-0.052473
17.69,-0.048867
17.7,-0.044991
17.71,-0.040899
17.72,-0.036651
17.73,-0.032312
17.74,-0.027949
17.75,-0.023634
17.76,-0.019434
17.77,-0.015419
17.78,-0.011653
17.79,-0.008198
17.8,-0.005106
17.81,-0.002425
17.82,-0.000194
17.83,0.001559
17.84,0.002816
17.85,0.003568
17.86,0.00382
17.87,0.003585
17.88,0.002888
17.89,0.001767
17.9,0.000265
17.91,-0.001562
17.92,-0.003653
17.93,-0.005939
17.94,-0.008347
17.95,-0.010801
17.96,-0.013221
17.97,-0.015529
17.98,-0.017648
17.99,-0.019504
18,-0.021029
18.01,-0.02216
18.02,-0.022842
18.03,-0.023029
18.04,-0.022687
18.05,-0.02179
18.06,-0.020324
18.07,-0.018289
18.08,-0.015695
18.09,-0.012564
18.1,-0.00893
18.11,-0.004837
18.12,-0.000339
18.13,0.0045
18.14,0.009609
18.15,0.014913
18.16,0.020329
18.17,0.025775
18.18,0.031163
18.19,0.03641
18.2,0.041434
18.21,0.046156
18.22,0.050504
18.23,0.054415
18.24,0.05783
18.25,0.060705
18.26,0.063003
18.27,0.064702
18.28,0.065791
18.29,0.066269
18.3,0.066152
18.31,0.065465
18.32,0.064247
18.33,0.062545
18.34,0.060419
18.35,0.057936
18.36,0.055172
18.37,0.052206
18.38,0.049123
18.39,0.046009
18.4,0.042952
18.41,0.040037
18.42,0.037345
18.43,0.034952
18.44,0.032928
18.45,0.031334
18.46,0.030218
18.47,0.029622
18.48,0.029571
18.49,0.03008
18.5,0.031149
18.51,0.032766
18.52,0.034905
18.53,0.037528
18.54,0.040584
18.55,0.044011
18.56,0.04774
18.57,0.051689
18.58,0.055776
18.59,0.059909
18.6,0.063996
18.61,0.067946
18.62,0.071668
18.63,0.075074
18.64,0.078085
18.65,0.080628
18.66,0.08264
18.67,0.084069
18.68,0.084876
18.69,0.085035
18.7,0.084536
18.71,0.083382
18.72,0.081593
18.73,0.079201
18.74,0.076254
18.75,0.072814
18.76,0.068952
18.77,0.064753
18.78,0.060307
18.79,0.055714
18.8,0.051077
18.81,0.046501
18.82,0.04209
18.83,0.037947
18.84,0.034169
18.85,0.030845
18.86,0.028056
18.87,0.02587
18.88,0.024344
18.89,0.023516
18.9,0.023413
18.91,0.024042
18.92,0.025395
18.93,0.027447
18.94,0.030155
18.95,0.033461
18.96,0.037292
18.97,0.041563
18.98,0.046177
18.99,0.051028
19,0.056002
19.01,0.060981
19.02,0.065847
19.03,0.070481
19.04,0.074768
19.05,0.0786
19.06,0.081878
19.07,0.084512
19.08,0.086428
19.09,0.087565
19.1,0.087879
19.11,0.087345
19.12,0.085954
19.13,0.083717
19.14,0.080662
19.15,0.076835
19.16,0.072301
19.17,0.067138
19.18,0.061437
19.19,0.055302
19.2,0.048846
19.21,0.042189
19.22,0.035453
19.23,0.028762
19.24,0.02224
19.25,0.016003
19.26,0.010161
19.27,0.004817
19.28,0.000057
19.29,-0.004044
19.3,-0.007426
19.31,-0.010049
19.32,-0.011889
19.33,-0.01294
19.34,-0.013215
19.35,-0.012746
19.36,-0.011578
19.37,-0.009777
19.38,-0.007419
19.39,-0.004594
19.4,-0.0014
19.41,0.002056
19.42,0.005662
19.43,0.009307
19.44,0.012879
19.45,0.01627
19.46,0.019378
19.47,0.022111
19.48,0.024388
19.49,0.026141
19.5,0.027316
19.51,0.027876
19.52,0.0278
19.53,0.027085
19.54,0.025744
19.55,0.023808
19.56,0.021323
19.57,0.018348
19.58,0.014958
19.59,0.011237
19.6,0.007277
19.61,0.003176
19.62,-0.000964
19.63,-0.005039
19.64,-0.00895
19.65,-0.0126
19.66,-0.0159
19.67,-0.018772
19.68,-0.021148
19.69,-0.022974
19.7,-0.02421
19.71,-0.024834
19.72,-0.024838
19.73,-0.024233
19.74,-0.023045
19.75,-0.021316
19.76,-0.019103
19.77,-0.016478
19.78,-0.01352
19.79,-0.010323
19.8,-0.006984
19.81,-0.003605
19.82,-0.000292
19.83,0.002853
19.84,0.005728
19.85,0.008241
19.86,0.010306
19.87,0.011849
19.88,0.012808
19.89,0.013138
19.9,0.012806
19.91,0.011798
19.92,0.010117
19.93,0.007784
19.94,0.004834
19.95,0.001321
19.96,-0.00269
19.97,-0.007116
19.98,-0.011868
19.99,-0.016845
20,-0.02194
20.01,-0.027043
20.02,-0.032042
20.03,-0.036828
20.04,-0.041294
20.05,-0.045343
20.06,-0.048885
20.07,-0.051841
20.08,-0.054147
20.09,-0.055754
20.1,-0.056628
20.11,-0.056751
20.12,-0.056126
20.13,-0.054769
20.14,-0.052714
20.15,-0.050011
20.16,-0.046725
20.17,-0.042933
20.18,-0.038723
20.19,-0.034192
20.2,-0.029442
20.21,-0.024579
20.22,-0.019711
20.23,-0.014945
20.24,-0.01038
20.25,-0.006113
20.26,-0.00223
20.27,0.001195
20.28,0.004099
20.29,0.006434
20.3,0.008167
20.31,0.009279
20.32,0.00977
20.33,0.009654
20.34,0.00896
20.35,0.007733
20.36,0.006028
20.37,0.003914
20.38,0.001469
20.39,-0.001223
20.4,-0.004072
20.41,-0.006985
20.42,-0.00987
20.43,-0.012637
20.44,-0.0152
20.45,-0.017481
20.46,-0.019409
20.47,-0.020926
20.48,-0.021984
20.49,-0.022551
20.5,-0.022605
20.51,-0.022142
20.52,-0.021172
20.53,-0.019717
20.54,-0.017814
20.55,-0.015512
20.56,-0.012872
20.57,-0.009962
20.58,-0.006858
20.59,-0.003643
20.6,-0.0004
20.61,0.002785
20.62,0.005828
20.63,0.008651
20.64,0.01118
20.65,0.013351
20.66,0.015107
20.67,0.016407
20.68,0.017217
20.69,0.017522
20.7,0.017317
20.71,0.016615
20.72,0.01544
20.73,0.01383
20.74,0.011836
20.75,0.009522
20.76,0.006958
20.77,0.004226
20.78,0.00141
20.79,-0.001401
20.8,-0.004114
20.81,-0.00664
20.82,-0.008894
20.83,-0.010793
20.84,-0.012264
20.85,-0.013243
20.86,-0.013678
20.87,-0.013528
20.88,-0.012768
20.89,-0.011384
20.9,-0.009382
20.91,-0.006777
20.92,-0.003604
20.93,0.000091
20.94,0.004249
20.95,0.008799
20.96,0.01366
20.97,0.018744
20.98,0.023955
20.99,0.029197
21,0.03437
21.01,0.039375
21.02,0.044118
21.03,0.048511
21.04,0.052472
21.05,0.05593
21.06,0.058825
21.07,0.061112
21.08,0.062756
21.09,0.063741
21.1,0.064063
21.11,0.063736
21.12,0.062786
21.13,0.061256
21.14,0.059199
21.15,0.056684
21.16,0.053787
21.17,0.050592
21.18,0.047193
21.19,0.043682
21.2,0.040159
21.21,0.036719
21.22,0.033456
21.23,0.030457
21.24,0.027804
21.25,0.025568
21.26,0.02381
21.27,0.022578
21.28,0.021906
21.29,0.021815
21.3,0.02231
21.31,0.023383
21.32,0.025008
21.33,0.027149
21.34,0.029756
21.35,0.032765
21.36,0.036105
21.37,0.039696
21.38,0.04345
21.39,0.047278
21.4,0.051087
21.41,0.054784
21.42,0.058282
21.43,0.061496
21.44,0.064349
21.45,0.066772
21.46,0.068708
21.47,0.070113
21.48,0.070952
21.49,0.071209
21.5,0.070877
21.51,0.069969
21.52,0.068508
21.53,0.066531
21.54,0.06409
21.55,0.061245
21.56,0.058068
21.57,0.054638
21.58,0.05104
21.59,0.047364
21.6,0.043698
21.61,0.040134
21.62,0.036759
21.63,0.033653
21.64,0.030893
21.65,0.028543
21.66,0.026659
21.67,0.025284
21.68,0.024448
21.69,0.024167
21.7,0.024444
21.71,0.025265
21.72,0.026605
21.73,0.028424
21.74,0.030669
21.75,0.033278
21.76,0.036178
21.77,0.039288
21.78,0.042521
21.79,0.045789
21.8,0.048999
21.81,0.052061
21.82,0.054889
21.83,0.057399
21.84,0.059517
21.85,0.061178
21.86,0.062328
21.87,0.062923
21.88,0.062936
21.89,0.06235
21.9,0.061166
21.91,0.059397
21.92,0.057072
21.93,0.054231
21.94,0.05093
21.95,0.047233
21.96,0.043214
21.97,0.038957
21.98,0.034549
21.99,0.030083
22,0.025651
22.01,0.021345
22.02,0.017255
22.03,0.013462
22.04,0.010044
22.05,0.007067
22.06,0.004586
22.07,0.002644
22.08,0.001272
22.09,0.000487
22.1,0.000288
22.11,0.000665
22.12,0.00159
22.13,0.003025
22.14,0.004916
22.15,0.007203
22.16,0.009813
22.17,0.012667
22.18,0.015683
22.19,0.018773
22.2,0.02185
22.21,0.024828
22.22,0.027626
22.23,0.030167
22.24,0.032382
22.25,0.034215
22.26,0.035617
22.27,0.036553
22.28,0.037001
22.29,0.036954
22.3,0.036417
22.31,0.035409
22.32,0.033964
22.33,0.032125
22.34,0.029948
22.35,0.027498
22.36,0.024847
22.37,0.022072
22.38,0.019255
22.39,0.016478
22.4,0.013821
22.41,0.011361
22.42,0.009169
22.43,0.007309
22.44,0.005834
22.45,0.004786
22.46,0.004195
22.47,0.004076
22.48,0.004432
22.49,0.005249
22.5,0.0065
22.51,0.008145
22.52,0.010129
22.53,0.012388
22.54,0.014847
22.55,0.017422
22.56,0.020024
22.57,0.022561
22.58,0.02494
22.59,0.027069
22.6,0.028859
22.61,0.030229
22.62,0.031107
22.63,0.03143
22.64,0.03115
22.65,0.03023
22.66,0.028652
22.67,0.026413
22.68,0.023525
22.69,0.020019
22.7,0.01594
22.71,0.011349
22.72,0.006323
22.73,0.000947
22.74,-0.00468
22.75,-0.010453
22.76,-0.016261
22.77,-0.021991
22.78,-0.027529
22.79,-0.032766
22.8,-0.037595
22.81,-0.041922
22.82,-0.045661
22.83,-0.048739
22.84,-0.051099
22.85,-0.0527
22.86,-0.053521
22.87,-0.053555
22.88,-0.052817
22.89,-0.05134
22.9,-0.049174
22.91,-0.046386
22.92,-0.043058
22.93,-0.039285
22.94,-0.035171
22.95,-0.030832
22.96,-0.026386
22.97,-0.021954
22.98,-0.017657
22.99,-0.013611
23,-0.009926
23.01,-0.006703
23.02,-0.004029
23.03,-0.001977
23.04,-0.000606
23.05,0.000047
23.06,-0.000039
23.07,-0.000865
23.08,-0.002412
23.09,-0.00464
23.1,-0.007494
23.11,-0.010899
23.12,-0.014767
23.13,-0.018996
23.14,-0.023473
23.15,-0.028081
23.16,-0.032694
23.17,-0.037187
23.18,-0.041438
23.19,-0.04533
23.2,-0.048751
23.21,-0.051605
23.22,-0.053806
23.23,-0.055287
23.24,-0.055997
23.25,-0.055905
23.26,-0.055
23.27,-0.053293
23.28,-0.050814
23.29,-0.047613
23.3,-0.04376
23.31,-0.039343
23.32,-0.034462
23.33,-0.029232
23.34,-0.023778
23.35,-0.01823
23.36,-0.012724
23.37,-0.007394
23.38,-0.002373
23.39,0.002216
23.4,0.006256
23.41,0.009644
23.42,0.012293
23.43,0.014133
23.44,0.015112
23.45,0.0152
23.46,0.014388
23.47,0.012689
23.48,0.010138
23.49,0.00679
23.5,0.002719
23.51,-0.001983
23.52,-0.007207
23.53,-0.012833
23.54,-0.018731
23.55,-0.024762
23.56,-0.030785
23.57,-0.03666
23.58,-0.042248
23.59,-0.047419
23.6,-0.052049
23.61,-0.056031
23.62,-0.059271
23.63,-0.061692
23.64,-0.063237
23.65,-0.063868
23.66,-0.063571
23.67,-0.062351
23.68,-0.060235
23.69,-0.05727
23.7,-0.053523
23.71,-0.049078
23.72,-0.044034
23.73,-0.038502
23.74,-0.032605
23.75,-0.026471
23.76,-0.020233
23.77,-0.014024
23.78,-0.007975
23.79,-0.00221
23.8,0.003155
23.81,0.008015
23.82,0.012278
23.83,0.015869
23.84,0.01873
23.85,0.02082
23.86,0.022119
23.87,0.022626
23.88,0.022357
23.89,0.021348
23.9,0.019651
23.91,0.017335
23.92,0.014481
23.93,0.011182
23.94,0.007539
23.95,0.003659
23.96,-0.000347
23.97,-0.004368
23.98,-0.008294
23.99,-0.012022
24,-0.015456
24.01,-0.018507
24.02,-0.021101
24.03,-0.023176
24.04,-0.024683
24.05,-0.025591
24.06,-0.025883
24.07,-0.025557
24.08,-0.024628
24.09,-0.023126
24.1,-0.021094
24.11,-0.018585
24.12,-0.015666
24.13,-0.01241
24.14,-0.008898
24.15,-0.005213
24.16,-0.001443
24.17,0.002328
24.18,0.006017
24.19,0.009544
24.2,0.012838
24.21,0.015835
24.22,0.018482
24.23,0.020735
24.24,0.022563
24.25,0.023946
24.26,0.024877
24.27,0.025361
24.28,0.025415
24.29,0.025065
24.3,0.024348
24.31,0.023309
24.32,0.022
24.33,0.020479
24.34,0.018806
24.35,0.017043
24.36,0.015252
24.37,0.013496
24.38,0.011829
24.39,0.010306
24.4,0.008971
24.41,0.007865
24.42,0.007016
24.43,0.006447
24.44,0.006172
24.45,0.006192
24.46,0.006502
24.47,0.007089
24.48,0.007929
24.49,0.008992
24.5,0.010243
24.51,0.011642
24.52,0.013142
24.53,0.014698
24.54,0.016261
24.55,0.017785
24.56,0.019221
24.57,0.020529
24.58,0.021669
24.59,0.022606
24.6,0.023313
24.61,0.023769
24.62,0.023959
24.63,0.023875
24.64,0.023518
24.65,0.022894
24.66,0.022018
24.67,0.020909
24.68,0.019593
24.69,0.018102
24.7,0.016469
24.71,0.014732
24.72,0.01293
24.73,0.011105
24.74,0.009297
24.75,0.007545
24.76,0.005886
24.77,0.004357
24.78,0.002987
24.79,0.001806
24.8,0.000835
24.81,0.000092
24.82,-0.000409
24.83,-0.00066
24.84,-0.00066
24.85,-0.000411
24.86,0.000081
24.87,0.000805
24.88,0.001745
24.89,0.002882
24.9,0.004196
24.91,0.005662
24.92,0.007256
24.93,0.00895
24.94,0.010718
24.95,0.012531
24.96,0.014362
24.97,0.016185
24.98,0.017973
24.99,0.019702
25,0.021348
25.01,0.022889
25.02,0.024304
25.03,0.025574
25.04,0.026681
25.05,0.027609
25.06,0.028344
25.07,0.028873
25.08,0.029184
25.09,0.029266
25.1,0.029111
25.11,0.028713
25.12,0.028065
25.13,0.027163
25.14,0.026007
25.15,0.024597
25.16,0.022936
25.17,0.021029
25.18,0.018884
25.19,0.016513
25.2,0.013929
25.21,0.011152
25.22,0.008202
25.23,0.005103
25.24,0.001884
25.25,-0.001424
25.26,-0.004788
25.27,-0.00817
25.28,-0.011532
25.29,-0.014833
25.3,-0.018031
25.31,-0.021085
25.32,-0.023954
25.33,-0.026597
